Name
SMARTS
gycol_cleavage_by_oxidataion_1	[C+0:1]([O+0H:5])-!@[C+0:2][O+0H:6].[O+0:3]=[O+0]>>[*:1]=[*:5].[*:2]=[*:6].[*:3]
glycol_cleavage_by_oxidation_2	[C+0:1]([O+0H:5])-@[C+0:2][O+0H:6].[O+0:3]=[O+0]>>([*:1]=[*:5].[*:2]=[*:6]).[*:3]
alcohol_dehydration	[C+0!H0:1][C+0:2][O+0H:3]>>[*:1]=[*:2].[*:3]
alochol_oxidation	[C+0!H0:1][O+0H:2].[O+0:3]=[O+0]>>[*:1]=[*:2].[*:3]
diol_carboxylation_1	[O+0H:1][C+0:2][C+0:3][O+0H:4].[O+0:5]=[C+0:6]=[O+0:7]>>[*:1].[*:2]1[*:3][*:4][*:6](=[*:7])[*:5]1
diol_carboxylation_2	[O+0H:1][C+0:2][C+0:8][C+0:3][O+0H:4].[O+0:5]=[C+0:6]=[O+0:7]>>[*:1].[*:2]1[*:8][*:3][*:4][*:6](=[*:7])[*:5]1
alcohol_hydrogenolysis	[C+0:1][C+0H2:3][O+0H:2].[H][H]>>[*:1].[*:3].[*:2]
pinacol_rearranagment_1	[C+0:1][C+0:2]([C+0:3])([O+0H:4])[C+0X4:5][O+0H:8]>>[*:1][*:2](=[*:4])[*:5]([*:3]).[*:8]
pinacol_rearranagment_2	[C+0H:2]([C+0:3])([O+0H:4])[C+0X4:5][O+0H:8]>>[*:2](=[*:4])[*:5]([*:3]).[*:8]
pinacol_rearranagment_3	[C+0H2:2]([O+0H:4])[C+0X4:5][O+0H:8]>>[*:2](=[*:4])[*:5].[*:8]
geminal_diol_dehydration	[C+0:1]([O+0H:2])[O+0H:3]>>[*:1]=[*:2].[*:3]
acetal_from_hemiacetal	[C+0X4:1]([O+0H0X2:2])[O+0H:3].[O+0H:4][C+0X4;!$(*OC):5]>>[*:1]([*:2])[*:4][*:5].[*:3]
ether_hydrolysis_1	[C+0:1][O+0:2]!@[C+0:3].[O+0H2:4]>>[*:1][*:2].[*:3][*:4]
ether_hydrolysis_2	[C+0:1][O+0:2]@[C+0:3].[O+0H2:4]>>([*:1][*:2].[*:3][*:4])
ether_hydrogenolysis_1	[C,c;+0;!$(*=O):1]!@[O+0:2][C,c;+0;!$(*=O):3].[H][H]>>[*:1].[*:2][*:3]
ether_hydrogenolysis_2	[C,c;+0;!$(*=O):1]@[O+0:2][C,c;+0;!$(*=O):3].[H][H]>>([*:1].[*:2][*:3])
cyclic_ether_by_dehydration_1	[C+0;!$(*=O):1][O+0H:2]>>[*:1][*:2][*:1].[*:2]
cyclic_ether_by_dehydration_2	([C+0;!$(*=O):1][O+0H:2].[C+0;!$(*=O):3][O+0H:4])>>[*:1][*:2][*:3].[*:4]
epoxide_opening	[C+0:1]1[C+0:2][O+0:3]1.[O+0!H0;!$(*-C=O):4]>>[*:4][*:1][*:2][*:3]
aldehyde_oxidation	[C+0!H0;!$(*-O):1]=[O+0:2].[O+0:3]=[O+0]>>[*:1](=[*:2])[*:3]
ketone_oxidaation_1	[C+0:1][C+0:2](=[O+0:3])!@[C+0H2:4][C+0:5].[O+0:6]=[O+0:7]>>[*:1][*:2](=[*:3])[*:6].[*:5][*:4](=[*:7])[O]
ketone_oxidation_2	[C+0:1][C+0:2](=[O+0:3])@[C+0H2:4][C+0:5].[O+0:6]=[O+0:7]>>([*:1][*:2](=[*:3])[*:6].[*:5][*:4](=[*:7])[O])
baeyer-villiger_oxidation	[C+0:5][C+0:1](=[O+0:2])[C+0:3].[O+0:4]=[O+0]>>[*:5][*:1](=[*:2])[*:4][*:3]
ketone hydrogenation	[C+0!$(*-O):1]=[O+0:2].[H][H]>>[*:1][*:2]
keto-enol_tautomerization_1	[C+0!H0:1][C+0:2]=[O+0:3]>>[*:1]=[*:2][*:3]
keto-enol_tautomerization_2	[C+0:1]=[C+0:2][O+0H:3]>>[*:1][*:2]=[*:3]
decarbonylation_of_aldehyde	[*+0:1][C+0H:2]=[O+0:3]>>[*:1].[*-:2]#[*+:3]
ketonization_1	[*+0:1][C+0:2](=[O+0:3])[O+0H:4].[*+0:5][C+0:6](=[O+0:7])[O+0H:8]>>[*:1][*:2](=[*:3])[*:5].[*:4]=[*:6]=[*:7].[*:8]
ketonization_2	([*+0:1][C+0:2](=[O+0:3])[O+0H:4].[*+0:5][C+0:6](=[O+0:7])[O+0H:8])>>[*:1][*:2](=[*:3])[*:5].[*:4]=[*:6]=[*:7].[*:8]
oxidative_esterification_1	[C+0;!$(*=O):5][O+0H:1].[O+0:2]=[C+0!H0:3].[O+0:4]=[O+0]>>[*:5][*:1][*:3]=[*:2].[*:4]
oxidative_esterification_2C	([C+0;!$(*=O):5][O+0H:1].[O+0:2]=[C+0!H0:3]).[O+0:4]=[O+0]>>[*:5][*:1][*:3]=[*:2].[*:4]
McMurry_reaction_1	[*+0:1][C+0;!$(*-O):2](=[O+0:3]).[*+0:5][C+0;!$(*-O):6](=[O+0:7]).[H][H]>>[*:1][*:2]=[*:6][*:5].[*:3].[*:7]
McMurry_reaction_2	([*+0:1][C+0;!$(*-O):2](=[O+0:3]).[*+0:5][C+0;!$(*-O):6](=[O+0:7])).[H][H]>>[*:1][*:2]=[*:6][*:5].[*:3].[*:7]
ketone_aldehyde_hydration	[C+0;!$(*-O):2]=[O+0:3].[O+0H2:4]>>[*:2]([*:3])[*:4]
hemiacetal_dissociation_and_formation_1	[$(C);!$(C=O):1]([O+0H:2])!@[O+0:3][$(C);!$(C=O):4]>>[*:1]=[*:2].[*:3][*:4]
hemiacetal_dissociation_and_formation_2	[$(C);!$(C=O):1]([O+0H:2])@[O+0:3][$(C);!$(C=O):4]>>([*:1]=[*:2].[*:3][*:4])
hemiacetal_dissociation_and_formation_3	[$(C);!$(CO):1]=[O+0:2].[O+0H:3][$(C);!$(C=O):4]>>[*:1]([*:2])[*:3][*:4]
hemiacetal_dissociation_and_formation_4	([$(C);!$(CO):1]=[O+0:2].[O+0H:3][$(C);!$(C=O):4])>>[*:1]([*:2])[*:3][*:4]
reduction_carbonyl	[C,c;+0:1][C+0;!$(*OC):2]=[O+0:3].[H][H]>>[*:1][*:2].[*:3]
decarboxylation	[*+0:1][C+0:2](=[O+0:3])[O+0H:4]>>[*:1].[*:3]=[*:2]=[*:4]
acid_anhydride_alcohol_to_ester_1	[C+0;!$(*[OH]):1](=[O+0:2])[O+0!R:3][C+0;!$(*[OH]):4](=[O+0:5]).[C,c+0;!$(*=O):6][O+0H:7]>>[*:1](=[*:2])[*:3][*:6].[*:4](=[*:5])[*:7]
acid_anhydride_alcohol_to_ester_2	[C+0;!$(*[OH]):1](=[O+0:2])[O+0R:3][C+0;!$(*[OH]):4](=[O+0:5]).[C,c+0;!$(*=O):6][O+0H:7]>>([*:1](=[*:2])[*:3][*:6].[*:4](=[*:5])[*:7])
aldol_condensation_1	[C+0:2](=[O+0:3])[C+0!H0:4].[O+0:5]=[C+0X3:6]>>[*:2](=[*:3])[*:4][*:6]([*:5])
aldol_condensation_2	([C+0:2](=[O+0:3])[C+0!H0:4].[O+0:5]=[C+0X3:6])>>[*:2](=[*:3])[*:4][*:6]([*:5])
aldol_condensation_3	[C+0:2](=[O+0:3])[C+0H3,H2:4].[O+0:5]=[C+0X3:6]>>[*:2](=[*:3])[*:4]=[*:6].[*:5]
aldol_condensation_4	([C+0:2](=[O+0:3])[C+0H3,H2:4].[O+0:5]=[C+0X3:6])>>[*:2](=[*:3])[*:4]=[*:6].[*:5]
claisen_condensatioon	[C+0:2](=[O+0:3])[O+0:7][C+0:4].[O+0:5]=[C+0:6][C+0!H0:8]>>[*:2](=[*:3])[*:8][*:6]=[*:5].[*:7][*:4]
Dieckmann_condensation	([C+0:2](=[O+0:3])[O+0:7][C+0H3:4].[O+0:5]=[C+0:6][C+0!H0:8])>>[*:2](=[*:3])[*:8][*:6]=[*:5].[*:7][*:4]
Michael_reaction_1	[C+0:1](=[O+0:2])[C+0!H0:3][C+0:4]=[O+0:5].[C+0:6]=[C+0:7][C+0:8]=[O+0:9]>>[*:1](=[*:2])[*:3]([*:6][*:7][*:8]=[*:9])[*:4]=[*:5]
Michael_reaction_2	([C+0:1](=[O+0:2])[C+0!H0:3][C+0:4]=[O+0:5].[C+0:6]=[C+0:7][C+0:8]=[O+0:9])>>[*:1](=[*:2])[*:3]([*:6][*:7][*:8]=[*:9])[*:4]=[*:5]
Michael_reaction_3	[C+0r6:1](=[O+0:2])[C+0!H0;r6:3].[C+0:6]=[C+0:7][C+0:8]=[O+0:9]>>[*:1](=[*:2])[*:3][*:6][*:7][*:8]=[*:9]
Michael_reaction_4	([C+0r6:1](=[O+0:2])[C+0!H0;r6:3].[C+0:6]=[C+0:7][C+0:8]=[O+0:9])>>[*:1](=[*:2])[*:3][*:6][*:7][*:8]=[*:9]
Robinson_annulation	[C+0R:1](=[O+0:2])[C+0R!H0:3].[C+0:8]=[C+0:9][C+0:10](=[O+0:11])[C+0!H0:12]>>[*:1]2[*:3]([*:8][*:9][*:10](=[*:11])[*:12]=2).[*:2]
ester_hydrolysis_1	[C+0:1](=[O+0:2])[O+0:3]!@[*+0:4].[O+0H2:5]>>[*:1](=[*:2])[*:3].[*:4][*:5]
ester_hydrolysis_2	[C+0:1](=[O+0:2])[O+0:3]@[*+0:4].[O+0H2:5]>>([*:1](=[*:2])[*:3].[*:4][*:5])
esterification_1	[C+0:2](=[O+0:3])[O+0H:4].[C,c;+0:5][O+0H:6]>>[*:2](=[*:3])[*:6][*:5].[*:4]
esterification_intra	([C+0:2](=[O+0:3])[O+0H:4].[C,c;+0:5][O+0H:6])>>[*:2](=[*:3])[*:6][*:5].[*:4]
ester_reduction_aldehyde_1	[O+0H0!R:1][C+0:2]=[O+0:3].[H][H]>>[*:1].[*:2]=[*:3]
ester_reduction_aldehyde_2	[O+0H0R:1][C+0:2]=[O+0:3].[H][H]>>([*:1].[*:2]=[*:3])
ester_reduction_alcohol_1	[O+0H0!R:1][C+0:2]=[O+0:3].[H][H]>>[*:1].[*:2][*:3]
ester_reduction_alcohol_2	[O+0H0R:1][C+0:2]=[O+0:3].[H][H]>>([*:1].[*:2][*:3])
transesterification_1	[C+0:1](=[O+0:2])[O+0:3][*+0:4].[O+0H;!$(*-C=O):5]>>[*:1](=[*:2])[*:5].[*:4][*:3]
transesterification_2	([C+0:1](=[O+0:2])[O+0:3][*+0:4].[O+0H;!$(*-C=O):5])>>[*:1](=[*:2])[*:5].[*:4][*:3]
benzene_hydrogenation	[c+0:1]1:[c+0:2]:[c+0:3]:[c+0:4]:[c+0:5]:[c+0:6]:1.[H][H]>>[*:1]1[*:2][*:3][*:4][*:5][*:6]1
hydroformylation	[C+0:1]=[C+0:2].[C-1:3]#[O+1:4].[H][H]>>[*:1][*:2][*+0:3]=[*+0:4]
alcohol_carbonylation	[C+0:1][O+0H:2].[C-1:3]#[O+1:4]>>[*:1][*+0:3](=[*+0:4])[*:2]
oxidative_carbonylation_1	[C+0:1][O+0H:2].[C+0:5][O+0H:6].[C-1:3]#[O+1:4].[O+0:7]=[O+0]>>[*:1][*:2][*+0:3](=[*+0:4])[*:6][*:5].[*:7]
oxidative_carbonylation_2	[C+0:1][O+0H:2].[C+0:5][O+0H:6].[C-1:3]#[O+1:4].[O+0:7]=[O+0]>>[*:1][*:2][*+0:3](=[*+0:4])[*+0:3](=[*+0:4])[*:6][*:5].[*:7]
hydrocarboxylation_1	[C+0:1]=[C+0:2].[C-1:3]#[O+1:4].[O+0H2:5]>>[*:1][*:2][*+0:3](=[*+0:4])[*:5]
hydrocarboxylation_2	[C+0:1]#[C+0:2].[C-1:3]#[O+1:4].[O+0H2:5]>>[*:1]=[*:2][*+0:3](=[*+0:4])[*:5]
hydroesterification	[C+0:1]=[C+0:2].[C-1:3]#[O+1:4].[C+0:6][O+0H:5]>>[*:1][*:2][*+0:3](=[*+0:4])[*:5][*:6]
